ƒ,Entrada,Subentrada,Tipo,Acepción,Marcas,Definiciones,Clase gramatical,Primera división,Nodo básico,Nodo LexiMus,Nodo intermedio,Último nodo,,Última referencia atestiguada/Primera referencia lexicográfica académica,
28,agudo,"agudo, da",m.,16,,Letra y danza que acompañan el agudo.,Sustantivo,Música,Producto,Conceptos,Continentes,elemento textual,,,
27,agudo,"agudo, da",m.,15,,Aire vivo con que suele acabar el baile en algunos pueblos.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
29,aguinaldo,aguinaldo,m.,3,,Villancico de Navidad.,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
,aire,aire popular,m.,1,,Canción o tocata bailable propia y característica del pueblo,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
31,aire1,aire1,m.,14,Mús.,Grado de presteza o lentitud con que se ejecuta una obra musical.,Sustantivo,Música,Modificadores,Conceptos,∅,cualidades unidades,,,
30,aire1,aire1,m.,11,,canción (‖ música de una canción).,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
32,ajabeba,ajabeba,f.,1,,Flauta morisca.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
35,alabado,alabado,m.,3,,Canto devoto que en algunas haciendas de México solían entonar los trabajadores al comenzar y al terminar la tarea diaria.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
34,alabado,alabado,m.,2,,Canto que los antiguos serenos de Chile y la Argentina entonaban al venir el día y recogerse al cuartel.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
33,alabado,alabado,m.,1,,"En la liturgia católica, motete en alabanza de la eucaristía que comienza con las palabras alabado sea.",Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
36,alalá1,alalá1,m.,1,,Canto popular de algunas provincias del norte de España.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
37,alamirré,alamirré,m.,1,,"En la música antigua, indicación del tono que principia en el sexto grado de la escala diatónica de do y se desarrolla según los preceptos del canto llano y del canto figurado.",Sustantivo,Música,Producto,Sonido,Dimensión espacial,notas y alteraciones,,AUTORIDADES (alamire),
,albada,albada,f.,1,,alborada (‖ composición poética o musical).,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
,albada,albada,f.,2,Huesc.,alborada (‖ música al amanecer y al aire libre).,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
38,albarillo,albarillo,m.,3,,"Especie de tañido o son en compás muy acelerado, que se tocaba en la guitarra, para bailar y acompañar jácaras y romances.",Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
,albazo,albazo,m.,2,Ec.,alborada (‖ música al amanecer y al aire libre).,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
39,albogón,albogón,m.,1,,"Instrumento musical antiguo de madera, de unos 90 cm de largo, a manera de flauta dulce o de pico, con siete agujeros para los dedos, el cual servía de bajo en los conciertos de flautas.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
40,albogón,albogón,m.,2,,Instrumento parecido a la gaita gallega.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
41,albogue,albogue,m.,1,,"Especie de flauta simple y rústica, o doble y de mayor complejidad de forma, generalmente de madera, caña o cuerno, propia de juglares y pastores. U. m. en pl.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
42,albogue,albogue,m.,2,,Cada uno de los dos platillos pequeños de latón que se usan para indicar el ritmo en las canciones y bailes populares.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,idiófonos,,,
43,alboguear,alboguear,intr.,1,p. us.,Tocar el albogue.,Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical (específicos),,,
,alboguero,"alboguero, ra",m. y f.,2,,Persona que hace albogues,Sustantivo,Música,Actividad,Participantes,[agentes] no productores,constructores,,,
44,alboguero,"alboguero, ra",m. y f.,1,,Persona que toca el albogue.,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],instrumentistas,,,
45,alborada,alborada,f.,2,,Música al amanecer y al aire libre para festejar a alguien.,Sustantivo,Música,Actividad,Conceptos,[resultados],resultados,,,
47,alborada,alborada,f.,5,,"Toque o música militar al romper el alba, para avisar la venida del día.",Sustantivo,Música,Producto,Conceptos,Continentes,formas/unidades,,,
46,alborada,alborada,f.,3,,Composición poética o musical destinada a cantar la mañana.,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
48,alboreada,alboreada,f.,1,,Palo flamenco que suele interpretarse en las bodas gitanas.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
,alboreada,alboreada,f.,2,,Baile que se ejecuta al compás de la alboreada,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
,álbum,álbum,m.,3,,"Disco o conjunto de discos sonoros, de larga duración.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,dispositivos grabación y reproducción,,,
49,álbum,álbum,m.,4,,Estuche o carpeta con uno o más discos sonoros.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,dispositivos grabación y reproducción,,,
,alcabor,alcabor,m.,1,,Hueco de la campana del horno o de la chimenea.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,idiófonos,,,
,alcalde,alcalde,m.,4,p. us.,"En algunas danzas, principal de ellas o quien las guía yconduce, o gobierna alguna cuadrilla.",Sustantivo,Baile/Danza,Actividad,Participantes,[agentes] y [experimentadores],intérpretes,,,
50,alegría,alegría,f. pl.,10,,"Palo flamenco de carácter vivo y alegre, procedente de la jota navarroaragonesa.",Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
,alegría,alegría,f. pl.,11,,Baile que se ejecuta al compás de las alegrías,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
,aleluya,aleluya,m.,3,,"En la liturgia cristiana, canto de alegría, compuesto en torno a la palabra aleluya, que se entona especialmente en tiempo de Pascua. U. t. c. f.",Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
,alemana,alemana,f.,5,,alemanda,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
,alemanda,alemanda,f.,1,,"Danza alegre de compás binario, en la que intervenían varias parejas de hombre y mujer.",Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
53,allegretto,allegretto,adv.,3,Mús.,Con movimiento menos vivo que el allegro.,Adverbio,Música,Modificadores,Conceptos,∅,cualidades verbos de acción musical (específicos),,,
52,allegretto,allegretto,m.,2,Mús.,Composición o parte de ella que se ha de ejecutar como allegretto.,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
51,allegretto,allegretto,m.,1,Mús.,Movimiento menos vivo que el allegro.,Sustantivo,Música,Producto,Técnica y Expresión,Dimensión temporal,tempo y agógica,,,
56,allegro,allegro,adv.,3,Mús.,Con movimiento moderadamente vivo.,Adverbio,Música,Modificadores,Conceptos,∅,cualidades verbos de acción musical (específicos),,,
55,allegro,allegro,m.,2,Mús.,Composición o parte de ella que se ha de ejecutar como allegro. Tocar o cantar un allegro.,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
54,allegro,allegro,m.,1,Mús.,Movimiento moderadamente vivo.,Sustantivo,Música,Producto,Técnica y Expresión,Dimensión temporal,tempo y agógica,,,
57,alma1,alma1,f.,14,,"En los instrumentos de cuerda que tienen puente, como el violín, el contrabajo, etc., palo que se pone entre sus dos tapas para que se mantengan a igual distancia.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,cordófonos,,,
58,almea2,almea2,f.,1,,"Entre los orientales, mujer que improvisa versos y canta y danza en público.",Sustantivo,Música,Actividad,Participantes,[agentes] productores,creadores e intérpretes,,,
,almohadilla,cantar una mujer a la almohadilla,loc. verb.,1,coloq.,Cantar sin instrumentos y solo para su distracción.,Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical (específicos),,"1651, España [Cáncer, Jerónimo de: La muerte de Valdovinos]",
,altavoz,altavoz,m.,1,,Aparato electroacústico que transforma la corriente eléctrica en sonido.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,dispositivos grabación y reproducción,,,
59,alteración,alteración,f.,6,Mús.,Signo que se emplea para modificar el sonido de una nota.,Sustantivo,Música,Producto,Símbolos,Dimensión espacial,alturas,,,
,alto,alto,f.,35,,"Danza antigua cortesana de compás ternario, bailada por uncaballero y una dama o por un caballero solo, con varias mudanzas.",Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
,"alto1, ta",echar el alta un maestro de danza,loc. verb.,1,,Convidar a alguno de sus discípulos a una concurrencia en que se repasan todos los bailes de la escuela.,Verbo,Baile/Danza,Actividad,Conceptos,[evento],¿verbos de baile y danza? (Diana),,,
,altoparlante,altoparlante,m.,1,Am.,altavoz (‖ aparato que transforma la corriente eléctrica en sonido).,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,dispositivos grabación y reproducción,,,
,ambiental,ambiental,adj.,2,,"Dicho de un tipo de música: Suave y relajante, destinada a crear un ambiente agradable.",Adjetivo,Música,Modificadores,Conceptos,∅,cualidades estilos,,,
,ambón,ambón,m.,1,,"Púlpito o atril para leer o cantar en las funciones litúrgicas, de los dos situados normalmente a uno y otro lado del altar mayor, uno para la epístola y otro para el evangelio, o en algunas iglesias antiguas a los lados del coro.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,recursos materiales,,,
,amusia,amusia,f.,1,Med.,Incapacidad de reconocer o reproducir tonos o ritmos musicales.,Sustantivo,Música,Actividad,Conceptos,∅,patologías,,,
60,anacora,anacora,f.,1,,"Trompa, cuerno de caza, clarín, corneta.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
61,anacrusa,anacrusa,f.,1,Mús.,Nota o grupo de notas débiles que preceden al tiempo fuerte de la melodía.,Sustantivo,Música,Producto,Sonido,Dimensión temporal,fenómenos contramétricos,,,
64,andante2,andante2,adv.,3,Mús.,Con movimiento moderadamente lento.,Adverbio,Música,Modificadores,Conceptos,∅,cualidades verbos de acción musical (específicos),,,
63,andante2,andante2,m.,2,Mús.,Composición o parte de ella que se ha de ejecutar como andante. Tocar o cantar un andante.,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
62,andante2,andante2,m.,1,Mús.,Movimiento moderadamente lento.,Sustantivo,Música,Producto,Técnica y Expresión,Dimensión temporal,tempo y agógica,,,
67,andantino,andantino,adv.,3,Mús.,Con movimiento más vivo que el andante pero menos que el allegro.,Adverbio,Música,Modificadores,Conceptos,∅,cualidades verbos de acción musical (específicos),,,
66,andantino,andantino,m.,2,Mús.,Composición o parte de ella que se ha de ejecutar como andantino.,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
65,andantino,andantino,m.,1,Mús.,Movimiento más vivo que el andante pero menos que el allegro.,Sustantivo,Música,Producto,Técnica y Expresión,Dimensión temporal,tempo y agógica,,,
68,andola,andola,f.,1,,Cancioncilla popular del siglo XVII.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
69,anejir,anejir,m.,1,,Refrán o sentencia popular puesto en verso y cantable.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
70,anemocordio,anemocordio,m.,1,,"Instrumento musical compuesto de una caja sonora con seis u ocho cuerdas afinadas en un mismo tono, y en el cual se producían los sonidos exponiéndolo a una corriente de aire.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,cordófonos,,,
71,animador,"animador, ra",m. y f.,2,,Cantante que actúa acompañado por una orquesta de baile y marca el ritmo con ademanes o movimientos.,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],intérpretes,,,
,antífona,antífona,f.,1,,"Breve pasaje, tomado por lo común de la Sagrada Escritura, que se canta o reza antes y después de los salmos y de los cánticos en las horas canónicas, y guarda relación con el oficio propio del día.",Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
,antifonal,antifonal,m.,1,,libro antifonal.,Sustantivo,Música,Producto/actividad,Objetos/Conceptos,[instrumentos] y medios materiales/continentes,recursos materiales/unidades ,,,
,antifonario,antifonario,m.,1,,libro antifonal.,Sustantivo,Música,Producto/actividad,Objetos/Conceptos,[instrumentos] y medios materiales/continentes,recursos materiales/unidades ,,,
,antologador,"antologador, ra",m. y f.,1,"Bol., Chile, Cuba, Ec., Méx., Pan., Perú, R. Dom. y Ven.",antólogo.,Sustantivo,Música,Actividad,Participantes,[agentes] no productores,comentaristas,,,
,antologar,antologar,tr.,1,,antologizar (‖ incluir en una antología).,Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical (específicos),,,
72,antología,antología,f.,1,,"Colección de piezas escogidas de literatura, música, etc.",Sustantivo,Música,Producto/actividad,Objetos/Conceptos,[instrumentos] y medios materiales/continentes,recursos materiales/unidades ,,,
,antologista,antologista,m. y f.,1,,antólogo.,Sustantivo,Música,Actividad,Participantes,[agentes] no productores,comentaristas,,,
,antologizar,antologizar,tr.,2,,Hacer una antología de una persona o de una cuestión,Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical (específicos),,,
73,antologizar,antologizar,tr.,1,,Incluir en una antología.,Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical (específicos),,,
74,antólogo,"antólogo, ga",m. y f.,1,,Colector de una antología.,Sustantivo,Música,Actividad,Participantes,[agentes] no productores,comentaristas,,,
,añafil,añafil,m. y f.,2,,añafilero.,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],instrumentistas,,,
75,añafil,añafil,m.,1,,"Trompeta recta morisca de unos 80 cm de longitud, que se usó también en Castilla.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
76,añafilero,"añafilero, ra",m. y f.,1,,Instrumentista que tocaba el añafil.,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],instrumentistas,,,
77,apagador,"apagador, ra",m.,4,Mús.,"Palanca del mecanismo de los pianos que, cubierta de fieltro por uno de sus extremos, se alza cuando la tecla obliga al macillo a dar en las cuerdas y baja tan pronto como se deja de oprimir la tecla, para evitar las resonancias.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,cordófonos,,,
,apoteosis,apoteosis,f.,4,Teatro.,"En una revista musical o en un espectáculo similar, escena culminante con que concluye la función y en la que participa todo el elenco.",Sustantivo,Música,Producto,Conceptos,Continentes,segmentos,,,
78,apoyatura,apoyatura,f.,2,Mús.,"Nota pequeña y de adorno, cuyo valor se toma del signo siguiente para no alterar la duración del compás.",Sustantivo,Música,Producto,Técnica y Expresión,Dimensión temporal,ornamentos rítmicos,,,
79,apuntación,apuntación,f.,2,Mús.,Acción de escribir las notas y demás signos musicales.,Sustantivo,Música,Actividad,Conceptos,[resultados],resultados,,"1686, México [Anónimo: Documentos sobre música en la catedral de Sigüenza]",
80,apuntación,apuntación,f.,3,Mús.,notación (‖ escritura musical).,Sustantivo,Música,Materia escolar,Conceptos,∅,disciplinas,,"1686, México [Anónimo: Documentos sobre música en la catedral de Sigüenza]",
,arabesco,arabesco,m.,4,,"En danza y otras disciplinas artísticas o deportivas, posición con los brazos extendidos y unapierna levantada hacia atrás.",Sustantivo,Baile/Danza,Actividad,Conceptos,movimientos y posiciones,¿sugerencias de Diana?,,,
,arabesque,arabesque,m.,1,,arabesco (‖ posición).,Sustantivo,Baile/Danza,Actividad,Conceptos,movimientos y posiciones,¿sugerencias de Diana?,,,
81,árbol,árbol,m.,3,,"En los órganos, eje que, movido a voluntad del ejecutante, hace que suene o deje de sonar el registro que este desea.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
82,archilaúd,archilaúd,m.,1,,"Instrumento musical antiguo, semejante al laúd, pero mayor, con mástil mucho más largo, ocho bordones y cuerdas gruesas para indicar los bajos, siete pares de cuerdas para los acordes y otra sencilla más delgada para la melodía.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,cordófonos,,,
83,arco,arco,m.,3,,"Vara delgada, curva o doblada en sus extremos, en los cuales se fijan algunas cerdas que sirven para tocar las cuerdas de algunos instrumentos de música.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,cordófonos,,,
84,areito,areito,m.,1,,Canto y baile de los indios que poblaban las Grandes Antillas.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
85,aria,aria,f.,1,Mús.,Composición sobre cierto número de versos para que la cante una sola voz.,Sustantivo,Música,Producto,Conceptos,Continentes,formas/unidades,,,
,arieta,arieta,f.,1,dim.,de aria.,Sustantivo,Música,Producto,Conceptos,Continentes,formas/unidades,,,
86,aristón,aristón,m.,1,,Instrumento musical de manubrio.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,idiófonos (mecánicos),,,
,arlequinado,"arlequinado, da",f.,5,,Pieza teatral de mimo con acompañamiento musical en la que intervienen personajes de la comedia del arte.,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
88,armonía,armonía,f.,5,Mús.,Arte de formar y enlazar los acordes.,Sustantivo,Música,Materia escolar,Conceptos,∅,disciplinas,,,
87,armonía,armonía,f.,1,,"Unión y combinación de sonidos simultáneos y diferentes, pero acordes.",Sustantivo,Música,Producto,Sonido,∅,dimensión espacial,,,
,armonicista,armonicista,m. y f.,1,,Persona que toca la armónica.,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],instrumentistas,,,
89,armónico,"armónico, ca",f.,4,,"Instrumento musical, en forma de pequeña caja alargada y provisto de una serie de orificios con lengüeta, que se toca soplando o aspirando por ellos.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
,armónico,"armónico, ca",adj.,1,,Perteneciente o relativo a la armonía,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades polivalentes,,,
,armónico,armónico fundamental,m.,1,Acús. Y Mús.,Armónico de frecuencia más baja de todos los componentes sinusoidales de una nota periódica,Sustantivo,Música,Producto,Sonido,Dimensión espacial,fenómenos acústicos,,,
90,armónico,"armónico, ca",m.,3,Mús.,"Sonido agudo, que se produce naturalmente por la resonancia de otro fundamental, como en los instrumentos de cuerda cuando se apoya con mucha suavidad el dedo sobre los nodos de la cuerda.",Sustantivo,Música,Producto,Sonido,Dimensión espacial,fenómenos acústicos,,,
91,armonio,armonio,m.,1,,"Órgano pequeño, con la forma exterior del piano, y al cual se da el aire por medio de un fuelle que se mueve con los pies.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
,armonioso,"armonioso, sa ",adj.,1,,Sonoro y agradable al oído.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades polivalentes,,,
,armonista,armonista,m. y f.,1,desus.,músico (‖ persona que conoce el arte de la música).,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],participantes marcados funcionalmente,,"2005, Bolivia [Campos Iglesias, Celestino: Música, danza e instrumentos folklóricos de Bolivia]",
92,armonizar,armonizar,tr.,2,Mús.,Escoger y escribir los acordes correspondientes a una melodía o a un bajete.,Verbo,Música,Producto,Conceptos,[evento],verbos de acción musical (específicos),,,
,aro3,aro3,interj.,1,"Arg., Bol. y Chile.",U. para que se suspenda el baile y que losbailarines tomen una copa o canten una copla entrecruzando losbrazos.,Interjección,Baile/Danza,Actividad,Conceptos,[evento],verbos de acción musical (específicos),,,
93,arpa,arpa,f.,1,,"Instrumento musical de forma triangular, con cuerdas colocadas verticalmente y que se tocan con ambas manos.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,cordófonos,,,
